"","Datum","Wochentag","Monat","Weihnachtsmarkt","Ferien","Ware_1","Ware_2","Ware_3","Ware_4","Ware_5","Ware_6","Gesamtumsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Feiertag","vor_feiertag","nach_feiertag","Temperaturklassen"
"1121",2016-07-25,2,7,0,1,185.227061,578.1443916,282.7294234,116.9143987,270.8028526,0,1433.8181273,0,4,25.375,7,95,0,0,0,"warm"
"1037",2016-05-02,2,5,0,0,80.53432047,320.9954199,95.41310273,46.45210451,227.0849359,0,770.47988351,0,1,17.875,6,0,0,0,1,"normal"
"560",2015-01-11,1,1,0,0,102.5035565,551.2047827,184.2290988,144.8861962,314.2825264,0,1297.1061606,0,5,4.25,23,61,0,0,0,"kalt"
"1548",2017-09-25,2,9,0,0,129.7091131,333.7254389,158.5240626,154.3830326,209.7700763,0,986.1117235,0,6,16.225,15,21,0,0,0,"normal"
"1088",2016-06-22,4,6,0,0,98.88518823,437.625292,132.9460561,75.17478253,245.2049411,0,989.83625996,1,5,22.125,9,61,0,0,0,"warm"
"526",2014-12-08,2,12,1,0,102.6787618,256.5960292,85.12215806,63.0120527,235.3848382,0,742.79383996,0,7,3.25,8,61,0,0,0,"kalt"
"674",2015-05-05,3,5,0,0,98.33866359,295.9285902,81.09515896,85.69208483,198.6842433,0,759.73874088,0,4,20,15,95,0,0,0,"kalt"
"279",2014-04-05,7,4,0,0,166.3666515,524.0654791,192.6934548,61.17657744,322.4719715,85.87056833,1352.64470267,0,8,9.825,5,61,0,0,0,"kalt"
"1494",2017-08-02,4,8,0,1,155.0220992,584.8467122,304.1161096,127.4016787,346.23388,0,1517.6204797,0,5,21.375,8,61,0,0,0,"warm"
"1650",2018-01-05,6,1,0,1,91.9340176,221.4939288,109.2759938,81.54333075,191.0505442,0,695.29781515,0,8,4.325,10,61,0,0,0,"kalt"
"976",2016-03-02,4,3,0,0,76.37955501,222.0956482,93.72175421,69.81529468,164.3555349,0,626.367787,0,7,5,16,63,0,0,0,"kalt"
"570",2015-01-21,4,1,0,0,90.10345879,285.5459868,115.5178047,115.7743419,271.9863138,0,878.92790599,0,8,-1.125,4,10,0,0,0,"kalt"
"1723",2018-03-19,2,3,0,0,168.789052,249.1393773,111.5624961,80.02590085,215.8905485,0,825.40737475,0,0,2.3,8,5,0,0,0,"kalt"
"406",2014-08-10,1,8,0,1,98.59195102,745.2592738,361.1579641,81.55068583,381.0818556,0,1667.64173035,0,6,23.1,12,0,0,0,0,"warm"
"1058",2016-05-23,2,5,0,0,92.04613918,339.0991252,138.7618111,72.62285407,204.0200057,0,846.54993525,0,7,15.5,8,21,0,0,0,"normal"
"1767",2018-05-02,4,5,0,0,114.0813376,282.2983478,133.1669237,66.94369178,206.1620373,0,802.65233818,0,1,14.725,9,5,0,0,1,"normal"
"840",2015-10-18,1,10,0,0,23.10840604,453.2886583,146.2428872,95.30281116,243.1764402,0,961.1192029,0,8,11.125,10,61,0,0,0,"normal"
"172",2013-12-19,5,12,1,0,101.5896445,265.1541103,66.42455889,82.33701538,175.6514759,86.53818326,777.69498823,0,7,7.4,10,63,0,0,0,"kalt"
"278",2014-04-04,6,4,0,0,149.0948698,348.498255,115.5577707,67.17128507,319.8887378,109.9334467,1110.14436507,0,6,6.45,15,0,0,0,0,"kalt"
"488",2014-10-31,6,10,0,0,132.4862793,404.5798722,278.5753108,141.9889898,303.6629313,0,1261.2933834,0,8,12.875,5,10,1,0,0,"normal"
"1005",2016-03-31,5,3,0,1,98.74971255,368.8527511,126.1278183,75.97193589,239.6358647,0,909.33808254,0,4,9,13,21,0,0,0,"kalt"
"2031",2019-01-21,2,1,0,0,153.0256562,244.6257763,101.6249069,91.93354685,276.2743571,0,867.48424335,0,6,-0.425,9,71,0,0,0,"kalt"
"285",2014-04-11,6,4,0,0,150.1979745,375.8379495,141.6859135,51.05628933,277.160414,63.51131052,1059.44985135,0,6,12.0625,10,0,0,0,0,"normal"
"1862",2018-08-05,1,8,0,1,97.20659356,605.4675493,338.1949204,89.6356802,282.0199258,0,1412.52466926,0,7,21.3,14,61,0,0,0,"warm"
"1216",2016-10-28,6,10,0,1,125.5692316,259.6596122,84.2028059,63.64039057,177.4021343,0,710.47417457,0,6,12.75,15,21,0,0,0,"normal"
"1305",2017-01-25,4,1,0,0,64.98303648,215.3381868,63.10892828,115.4952082,221.0394723,0,679.96483206,0,7,-1.25,6,49,0,0,0,"kalt"
"253",2014-03-10,2,3,0,0,150.5168912,317.3787021,112.7940996,85.5428446,194.3663282,46.39628677,906.99515247,0,0,15.8,9,0,0,0,0,"normal"
"1790",2018-05-25,6,5,0,0,123.5171435,434.5488051,247.2186497,77.5317707,263.5375471,0,1146.3539161,0,0,19.775,16,5,0,0,0,"normal"
"1153",2016-08-26,6,8,0,1,113.8576517,457.3089602,166.4020645,91.74361182,298.4714911,0,1127.78377932,0,0,27.75,13,0,0,0,0,"warm"
"897",2015-12-14,2,12,1,0,113.6239816,202.6178897,99.1527895,212.9547635,135.8828332,0,764.2322575,0,7,3.625,6,21,0,0,0,"kalt"
"599",2015-02-19,5,2,0,0,123.6909034,284.7882013,96.84776195,93.81079402,321.7308638,0,920.86852447,0,0,6.25,13,5,0,0,0,"kalt"
"412",2014-08-16,7,8,0,1,229.3210986,799.7079032,398.4397015,95.03564698,434.0750545,0,1956.57940478,0,6,17.2,15,61,0,0,0,"normal"
"100",2013-10-08,3,10,0,1,96.86710098,324.6166156,179.7180763,91.15159146,245.6569231,69.37294853,1007.38325597,0,6,15.1125,8,61,0,0,0,"normal"
"404",2014-08-08,6,8,0,1,194.2267031,758.9904903,403.3670706,72.25988023,381.2071886,0,1810.05133283,0,3,22.725,8,0,0,0,0,"warm"
"1519",2017-08-27,1,8,0,1,60.39041958,555.6177379,213.9942787,88.9842612,317.5001754,0,1236.48687278,0,4,19.6625,13,21,0,0,0,"normal"
"1385",2017-04-15,7,4,0,1,396.1607696,703.4616106,355.3560153,73.57048975,397.7451407,0,1926.29402595,0,6,8.125,23,63,0,0,1,"kalt"
"1274",2016-12-25,1,12,0,0,0,0,0,0,0,0,0,0,7,9.375,16,61,1,1,0,"kalt"
"264",2014-03-21,6,3,0,0,104.8547457,316.0806284,116.3840108,145.5434996,239.8042466,19.2822513,941.9493824,0,7,6.8875,14,63,0,0,0,"kalt"
"213",2014-01-29,4,1,0,0,75.1156294,230.3059343,68.17854837,174.5570544,217.4952259,50.54437553,816.1967679,0,7,-5.05,13,77,0,0,0,"kalt"
"1745",2018-04-10,3,4,0,1,116.487323,260.8190895,84.04971815,89.27293771,203.766869,0,754.39593736,0,8,5.1625,21,10,0,0,0,"kalt"
"742",2015-07-12,1,7,0,0,88.65405647,638.2408273,226.5769885,72.7913058,262.3039454,0,1288.56712347,0,7,19.25,12,61,0,0,0,"normal"
"789",2015-08-28,6,8,0,1,139.2892478,476.3980724,220.3646749,83.19264518,328.7687577,0,1248.01339798,0,2,19.625,11,20,0,0,0,"normal"
"281",2014-04-07,2,4,0,0,175.8630885,357.6299465,177.9970973,72.11853985,310.0634629,94.1497661,1187.82190115,0,7,15.7875,10,63,0,0,0,"normal"
"993",2016-03-19,7,3,0,0,123.3052156,380.2374177,139.1788618,72.80654393,319.4590822,0,1034.98712123,0,7,6,15,45,0,0,0,"kalt"
"2086",2019-03-17,1,3,0,0,108.4505278,511.3274188,278.2381065,79.66883411,309.4761791,0,1287.16106631,0,5,7.4,20,21,0,0,0,"kalt"
"391",2014-07-26,7,7,0,1,171.3215235,685.4994746,325.575891,129.3801767,318.191646,0,1629.9687118,0,6,22.375,10,21,0,0,0,"warm"
"1824",2018-06-28,5,6,0,0,153.2229127,351.5333915,172.5533058,77.97045681,266.2303485,0,1021.51041531,0,0,22.125,9,0,0,0,0,"warm"
"479",2014-10-22,4,10,0,1,127.7650513,418.3114698,165.2955122,60.71698854,285.1718269,0,1057.26084874,0,6,13,12,0,0,0,0,"normal"
"1372",2017-04-02,1,4,0,0,90.41088505,432.3018259,188.0642639,83.31712954,219.2223376,0,1013.31644199,0,2,13.375,13,0,0,0,0,"normal"
"159",2013-12-06,6,12,1,0,112.0156506,242.4296919,72.78034766,81.02491432,211.0365543,63.23832535,782.52548413,0,6,1.7875,25,73,0,0,0,"kalt"
"1768",2018-05-03,5,5,0,0,123.9751601,286.8174434,118.8454101,54.54905306,211.8779654,0,796.06503206,0,1,12.5,14,0,0,0,0,"normal"
"1913",2018-09-25,3,9,0,0,100.4115487,363.0592972,126.3010236,143.4658474,342.4924714,0,1075.7301883,0,3,12.7625,9,0,0,0,0,"normal"
"1276",2016-12-27,3,12,0,1,132.5349411,353.7977918,127.1782284,161.686427,264.1331017,0,1039.33049,0,6,8.25,21,0,0,0,1,"kalt"
"1118",2016-07-22,6,7,0,0,113.4070104,552.60602,218.1937245,66.48755504,244.4928338,0,1195.18714374,0,3,26,6,21,0,0,0,"warm"
"750",2015-07-20,2,7,0,1,112.0883141,566.1575373,212.2080139,72.06014405,243.5111576,0,1206.02516695,0,6,18.375,12,20,0,0,0,"normal"
"2027",2019-01-17,5,1,0,0,133.2585698,223.9402647,77.50012127,79.06255027,244.9267496,0,758.68825564,0,7,4.1875,15,61,0,0,0,"kalt"
"1",2013-07-01,2,7,0,1,148.8283531,535.8562848,201.1984257,65.8901688,317.4758749,41.81303842,1311.06214572,0,6,17.8375,15,20,0,0,0,"normal"
"1990",2018-12-11,3,12,1,0,107.2236414,258.8296377,90.47408921,86.26633405,202.8874834,0,745.68118576,0,6,4.6375,11,0,0,0,0,"kalt"
"1186",2016-09-28,4,9,0,0,120.1316249,276.9574751,108.0525405,129.902768,281.3317373,0,916.3761458,0,6,19.125,19,0,0,0,0,"normal"
"362",2014-06-27,6,6,0,0,149.1996198,595.2043071,232.1659298,44.58370215,371.3246199,0,1392.47817875,1,4,20.1625,7,95,0,0,0,"warm"
"1778",2018-05-13,1,5,0,0,86.01256111,569.3571696,283.6837738,70.38224248,292.4534626,0,1301.88920959,0,2,17.25,12,10,0,0,0,"normal"
"517",2014-11-29,7,11,1,0,143.2762247,409.3295505,180.2030868,64.16386291,302.0432168,0,1099.01594171,0,8,1,10,5,0,0,0,"kalt"
"1155",2016-08-28,1,8,0,1,64.0609472,601.7505892,256.1767626,73.56377313,343.4034595,0,1338.95553163,0,4,21.875,12,63,0,0,0,"warm"
"1565",2017-10-12,5,10,0,0,107.9217142,382.3674628,129.5925119,55.41464581,251.4004146,0,926.69674931,0,6,13.1875,24,21,0,0,0,"normal"
"195",2014-01-11,7,1,0,0,127.9598653,384.2298362,135.2976293,66.25996336,255.193769,51.6599611,1020.60102426,0,7,5.5875,18,63,0,0,0,"kalt"
"2077",2019-03-08,6,3,0,0,65.27096656,287.7895775,108.7298984,118.4082056,278.5251439,0,858.72379196,0,5,6.8875,26,61,0,0,0,"kalt"
"1136",2016-08-09,3,8,0,1,168.3924915,614.0576559,320.6514902,175.7770256,323.2010342,0,1602.0796974,0,5,15.375,18,21,0,0,0,"normal"
"718",2015-06-18,5,6,0,0,140.8240646,332.820567,132.8294608,51.9802446,269.2724207,0,927.7267577,0,7,13.25,13,61,0,0,0,"normal"
"1396",2017-04-26,4,4,0,0,82.11249549,249.875361,91.97993408,66.50315694,217.4007062,0,707.87165371,0,6,7.625,7,61,0,0,0,"kalt"
"1776",2018-05-11,6,5,0,1,206.8119506,494.2691163,239.4777102,80.07919789,283.0148448,0,1303.65281979,0,1,15.1,8,0,0,0,1,"normal"
"118",2013-10-26,7,10,0,0,161.6788053,403.1763803,189.2422023,128.4730763,260.8129435,89.46403275,1232.84744045,0,5,16.775,10,21,0,0,0,"normal"
"768",2015-08-07,6,8,0,1,161.4053482,663.6656477,323.8422309,70.0238514,328.5250754,0,1547.4621536,0,4,20,9,63,0,0,0,"kalt"
"1694",2018-02-18,1,2,0,0,43.13720263,383.2103708,164.3279356,80.16375689,425.191343,0,1096.03060892,0,5,4.375,8,0,0,0,0,"kalt"
"1754",2018-04-19,5,4,0,0,109.199778,257.136685,103.383706,43.93443716,140.2208525,0,653.87545866,0,0,23.1125,5,0,0,0,0,"warm"
"1655",2018-01-10,4,1,0,0,92.16322131,213.4937486,72.31077095,96.69969873,192.2646357,0,666.93207529,0,6,4.0125,6,21,0,0,0,"kalt"
"1949",2018-10-31,4,10,0,0,0,0,0,0,0,0,0,0,5,9.9,10,0,1,1,0,"kalt"
"83",2013-09-21,7,9,0,0,178.2638879,525.0140978,227.1781251,148.9391022,320.9600545,63.2351829,1463.5904504,0,7,15.35,9,0,0,0,0,"normal"
"1142",2016-08-15,2,8,0,0,0,0,0,0,0,0,0,0,5,18.625,11,0,0,0,0,"normal"
"1308",2017-01-28,7,1,0,0,119.7768875,313.6829692,109.0697418,81.26958358,332.6113468,0,956.41052888,0,1,2.875,5,5,0,0,0,"kalt"
"588",2015-02-08,1,2,0,0,62.75006299,531.3377305,178.8166998,82.99651111,470.1661893,0,1326.0671937,0,1,3.375,14,0,0,0,0,"kalt"
"609",2015-03-01,1,3,0,0,45.73432453,435.0768355,174.1780215,75.55624972,288.6197688,0,1019.16520005,0,7,6.75,15,61,0,0,0,"kalt"
"477",2014-10-20,2,10,0,1,158.3825589,384.8418331,175.0819041,55.79519568,297.6405096,0,1071.74200138,0,6,14.625,18,61,0,0,0,"normal"
"133",2013-11-10,1,11,0,0,108.5616603,554.3588489,190.9639005,54.99782722,338.8937232,36.92826444,1284.70422456,0,2,6.9875,12,63,0,0,0,"kalt"
"606",2015-02-26,5,2,0,0,104.0179588,245.5208467,61.82861411,89.48541075,203.8461745,0,704.69900486,0,5,6.625,10,0,0,0,0,"kalt"
"1808",2018-06-12,3,6,0,0,118.2513863,329.2632696,121.4917253,56.72195796,312.4542851,0,938.18262426,0,8,15.3125,12,20,0,0,0,"normal"
"888",2015-12-05,7,12,1,0,76.81683612,376.3872577,88.19071529,71.83537773,201.4364952,0,814.66668204,0,6,9,14,61,0,0,0,"kalt"
"1743",2018-04-08,1,4,0,1,70.91080321,415.8207157,168.6433695,62.91248103,267.8822769,0,986.16964634,0,0,20.5,5,5,0,0,0,"warm"
"1563",2017-10-10,3,10,0,0,121.0177079,351.2179088,136.7178858,61.93178211,226.8222086,0,897.70749321,0,7,14.05,9,63,0,0,0,"normal"
"1954",2018-11-05,2,11,0,0,130.430867,277.3288425,91.4851444,55.68290538,229.8131806,0,784.74093988,0,8,10.4125,6,10,0,0,0,"normal"
"1669",2018-01-24,4,1,0,0,115.4647533,203.3857821,98.33094224,209.0196235,191.5993978,0,817.80049894,0,8,11.6,14,61,0,0,0,"normal"
"1889",2018-09-01,7,9,0,0,126.2050136,458.4179487,257.0535236,59.26817221,302.0147692,0,1202.95942731,0,2,18.1125,8,0,0,0,0,"normal"
"1419",2017-05-19,6,5,0,0,84.01658898,323.8681725,122.0842053,82.37849672,253.2029777,0,865.5504412,0,6,17.375,7,21,0,0,0,"normal"
"1797",2018-06-01,6,6,0,0,171.3522113,391.0763588,196.0479365,66.27531838,299.6320657,0,1124.38389068,0,0,21.375,12,5,0,0,0,"warm"
"1213",2016-10-25,3,10,0,1,74.5196203,275.2145265,91.41745968,140.1366103,233.0379545,0,814.32617128,0,5,9,8,0,0,0,0,"kalt"
"283",2014-04-09,4,4,0,0,168.9455824,366.1002318,162.7588011,77.36384844,271.0990075,128.4701881,1174.73765934,0,7,10.1875,20,21,0,0,0,"normal"
"1998",2018-12-19,4,12,1,0,87.37552873,244.1140148,109.8602998,108.7396702,207.949128,0,758.03864153,0,7,3.175,9,61,0,0,0,"kalt"
"1267",2016-12-18,1,12,1,0,158.0847614,565.0416648,174.7289984,164.7269683,304.1165043,0,1366.6988972,0,7,7,8,0,0,0,0,"kalt"
"1848",2018-07-22,1,7,0,1,130.8578881,724.3181159,429.9202885,87.19807605,259.7703989,0,1632.06476745,0,1,25.0375,13,5,0,0,0,"warm"
"1339",2017-02-28,3,2,0,0,83.0765621,229.9414064,55.67738035,108.1600334,217.1128828,0,693.96826505,0,6,6,15,21,0,0,0,"kalt"
"2008",2018-12-29,7,12,0,1,154.7633425,500.0848077,213.3281061,92.33185281,423.9625565,0,1384.47066561,0,8,7.675,10,61,0,0,0,"kalt"
"1710",2018-03-06,3,3,0,0,105.3389627,254.0358006,109.1434827,117.8814398,213.6115063,0,800.0111921,0,0,6.4,9,5,0,0,0,"kalt"
"512",2014-11-24,2,11,1,0,135.4950584,308.9108858,144.604224,72.73949075,253.9791055,0,915.72876445,0,3,9.375,10,0,0,0,0,"kalt"
"1836",2018-07-10,3,7,0,1,161.3882871,496.1905849,231.0227384,63.94658448,314.8290114,0,1267.37720628,0,2,18.675,15,5,0,0,0,"normal"
"850",2015-10-28,4,10,0,1,90.93661554,304.0065155,125.6868645,61.4518022,268.4339749,0,850.51577264,0,1,11.25,10,5,0,0,0,"normal"
"1111",2016-07-15,6,7,0,0,132.6999438,455.6154457,188.3101248,90.35280916,245.2961275,0,1112.27445096,0,7,17,16,61,0,0,0,"normal"
"1995",2018-12-16,1,12,1,0,70.38289467,496.935804,187.6154309,129.8833934,252.4100549,0,1137.22757787,0,7,0.2,9,0,0,0,0,"kalt"
"42",2013-08-11,1,8,0,0,73.208833,666.9113082,341.03303,107.4079993,583.4917178,128.1692903,1900.2221786,0,7,16.3875,9,61,0,0,0,"normal"
"2065",2019-02-24,1,2,0,0,99.83118737,610.4827089,317.7955847,102.5698625,434.3849354,0,1565.06427887,0,0,9.6875,9,5,0,0,0,"kalt"
"1641",2017-12-27,4,12,0,1,104.5824754,366.3919338,139.8322203,94.95547447,220.0525053,0,925.81460927,0,7,4.6125,7,21,0,0,1,"kalt"
"1532",2017-09-09,7,9,0,0,113.4519668,416.1108561,142.2319648,106.0965232,309.9694024,0,1087.8607133,0,7,15.025,9,61,0,0,0,"normal"
"1740",2018-04-05,5,4,0,1,97.86345278,315.005856,130.186904,60.52409971,217.819515,0,821.39982749,0,7,8.6625,19,61,0,0,0,"kalt"
"729",2015-06-29,2,6,0,0,167.2702045,455.6232428,194.136671,107.2412835,304.8004009,0,1229.0718027,0,3,21.5,12,0,0,0,0,"warm"
"1330",2017-02-19,1,2,0,0,62.00979695,447.5672004,143.2427825,67.6590165,314.3453566,0,1034.82415295,0,7,5.625,8,61,0,0,0,"kalt"
"65",2013-09-03,3,9,0,0,138.8256189,357.4012857,174.6554913,84.17436827,270.3501239,35.62019747,1061.02708554,0,7,18.225,11,21,0,0,0,"normal"
"1202",2016-10-14,6,10,0,0,93.8261887,362.8918966,166.322171,74.87094204,200.9468344,0,898.85803274,0,7,9.125,13,61,0,0,0,"kalt"
"567",2015-01-18,1,1,0,0,47.89105117,615.8951615,181.2477904,53.85732586,325.1219786,0,1224.01330753,0,8,2,9,61,0,0,0,"kalt"
"1347",2017-03-08,4,3,0,0,94.92295022,229.762107,82.59341946,90.29133809,172.8943758,0,670.46419057,0,6,5.75,9,61,0,0,0,"kalt"
"870",2015-11-17,3,11,0,0,100.3957643,236.5561657,72.78015781,71.72269427,190.311676,0,671.76645808,0,7,10.75,8,21,0,0,0,"normal"
"446",2014-09-19,6,9,0,0,140.1444531,402.2448946,181.1922848,88.90352518,332.8831338,0,1145.36829148,0,0,20.75,9,5,0,0,0,"warm"
"1299",2017-01-19,5,1,0,0,119.723025,217.3143319,80.73121206,36.83426023,203.847604,0,658.45043319,0,8,1.5,8,61,0,0,0,"kalt"
"149",2013-11-26,3,11,1,0,123.4317032,270.0667806,102.0587746,81.36146472,246.4706582,111.8911457,935.28052702,0,2,2.3125,6,0,0,0,0,"kalt"
"1348",2017-03-09,5,3,0,0,111.3513519,270.9759194,71.31378955,73.17032669,201.9819744,0,728.79336194,0,7,7.375,8,21,0,0,0,"kalt"
"2038",2019-01-28,2,1,0,0,132.0573833,217.6031042,72.40962645,158.4772365,204.1799461,0,784.72729655,0,8,2.75,5,20,0,0,0,"kalt"
"1218",2016-10-30,1,10,0,0,68.38275884,473.2839978,141.9010757,84.35985887,189.6845812,0,957.61227241,0,4,11,9,5,0,1,0,"normal"
"1559",2017-10-06,6,10,0,0,143.0987366,352.3249661,182.5095891,78.28302863,240.1411515,0,996.35747193,0,1,13.8875,13,3,0,0,0,"normal"
"132",2013-11-09,7,11,0,0,99.93179595,391.2574305,136.2876451,49.8879972,221.2317627,54.47857506,953.07520651,0,5,7.7,16,63,0,0,0,"kalt"
"1379",2017-04-09,1,4,0,1,78.39251028,436.7761066,207.6851176,79.87485771,315.6644916,0,1118.39308379,0,0,16,9,5,0,0,0,"normal"
"1964",2018-11-15,5,11,0,0,150.0232188,260.8947589,103.1057064,82.31312729,213.8590666,0,810.19587799,0,2,10.35,6,5,0,0,0,"normal"
"1833",2018-07-07,7,7,0,0,191.5445487,524.0240239,289.9218162,63.57058094,356.1393094,0,1425.20027914,0,0,20.25,19,5,0,0,0,"warm"
"2145",2019-05-15,4,5,0,0,151.5449519,352.5099051,148.9368427,0,282.7322501,0,935.7239498,0,2,13.9,11,0,0,0,0,"normal"
"2051",2019-02-10,1,2,0,0,78.15830185,423.5007119,212.5254622,104.210074,291.7112005,0,1110.10575045,0,7,5.125,7,61,0,0,0,"kalt"
"917",2016-01-03,1,1,0,1,67.32816097,436.5824701,164.8590058,320.0522146,189.5607687,0,1178.38262017,0,7,-5.5,13,0,0,0,0,"kalt"
"1428",2017-05-28,1,5,0,0,72.21626931,562.1759238,258.8752027,55.5483272,280.8010051,0,1229.61672811,0,1,22.375,14,61,0,0,0,"warm"
"852",2015-10-30,6,10,0,1,105.5095515,337.0996201,114.7254057,49.84313568,266.4706968,0,873.64840978,0,7,11.375,5,10,0,1,0,"normal"
"943",2016-01-29,6,1,0,0,91.00828566,267.4548755,77.26742367,82.31192124,195.5744125,0,713.61691857,0,7,8.125,17,61,0,0,0,"kalt"
"1069",2016-06-03,6,6,0,0,126.1728056,360.1617073,119.4346131,84.4526943,238.0690274,0,928.2908477,0,0,21.875,10,0,0,0,0,"warm"
"1637",2017-12-23,7,12,0,1,216.9860065,321.1438762,83.56765507,107.1263117,190.505322,0,919.32917147,0,7,7.8,19,61,0,0,0,"kalt"
"818",2015-09-26,7,9,0,0,157.8745832,516.8670824,167.2564001,72.3286239,259.4795396,0,1173.8062292,0,4,15.25,7,21,0,0,0,"normal"
"26",2013-07-26,6,7,0,1,147.2720844,718.0166481,352.2938833,68.12220209,331.5220918,61.95597236,1679.18288205,0,3,27.2625,6,0,0,0,0,"warm"
"77",2013-09-15,1,9,0,0,55.19600623,494.9081851,199.5258192,72.86389898,368.2355193,58.39794578,1249.12737459,0,7,14.8625,10,21,0,0,0,"normal"
"1487",2017-07-26,4,7,0,1,182.4448224,507.8201792,287.6115856,164.4957128,280.9214507,0,1423.2937507,0,0,20.875,10,0,0,0,0,"warm"
"2148",2019-05-18,7,5,0,0,177.886432,580.6223522,279.9437847,0,288.7777546,0,1327.2303235,0,3,16.4875,13,5,0,0,0,"normal"
"322",2014-05-18,1,5,0,0,94.92657189,598.0670116,209.6151263,79.71884442,381.7428386,88.97271889,1453.0431117,0,4,16.5125,13,0,0,0,0,"normal"
"1039",2016-05-04,4,5,0,0,143.5175866,340.854575,130.9205053,80.14314875,228.2118823,0,923.64769795,0,1,12.375,10,0,0,1,0,"normal"
"1044",2016-05-09,2,5,0,0,115.1023715,316.2343757,129.4656987,92.17282352,274.7849068,0,927.76017622,0,0,19.875,12,0,0,0,0,"normal"
"631",2015-03-23,2,3,0,0,129.186723,292.8364792,97.77096813,69.26032513,268.6049819,0,857.65947736,0,0,7.75,12,0,0,0,0,"kalt"
"1613",2017-11-29,4,11,1,0,70.89335909,222.2186383,91.71892431,62.99498586,187.8078869,0,635.63379446,0,7,4.225,6,61,0,0,0,"kalt"
"872",2015-11-19,5,11,0,0,134.9881031,243.7882032,69.91881746,121.5918497,205.4392396,0,775.72621306,0,7,10.125,20,61,0,0,0,"normal"
"1410",2017-05-10,4,5,0,0,110.0539064,336.0641964,119.9119547,113.9396438,313.4018101,0,993.3715114,0,7,9.25,11,61,0,0,0,"kalt"
"881",2015-11-28,7,11,1,0,107.1798112,403.083011,80.87180883,52.67663287,254.0206996,0,897.8319635,0,2,6.125,11,61,0,0,0,"kalt"
"1441",2017-06-10,7,6,0,0,155.2444575,394.6597485,210.9751774,55.42312265,295.9252376,0,1112.22774365,0,5,19.25,10,0,0,0,0,"normal"
"2110",2019-04-10,4,4,0,1,106.7536099,343.7041642,121.4922042,0,258.7221788,0,830.6721571,0,0,6.275,14,5,0,0,0,"kalt"
"1816",2018-06-20,4,6,0,0,187.7603637,438.2067335,178.4851462,133.3808727,329.9912665,0,1267.8243826,1,3,23.65,13,0,0,0,0,"warm"
"1507",2017-08-15,3,8,0,1,111.7613353,546.6643147,256.4777377,103.6502109,255.6081347,0,1274.1617333,0,2,25.0625,9,0,0,0,0,"warm"
"1125",2016-07-29,6,7,0,1,177.6701848,585.7373753,313.0511277,64.87478042,306.1762626,0,1447.50973082,0,6,21,10,65,0,0,0,"warm"
"1847",2018-07-21,7,7,0,1,184.3337153,751.6886188,393.2120124,86.81999421,240.6992327,0,1656.75357341,0,0,25.0625,10,0,0,0,0,"warm"
"30",2013-07-30,3,7,0,1,132.1116401,690.1177571,354.5317751,83.10941163,424.086157,60.84869789,1744.80543882,0,5,21.075,13,21,0,0,0,"warm"
"1903",2018-09-15,7,9,0,0,159.5561318,488.6490752,261.1175402,59.37024615,331.7171018,0,1300.41009515,0,0,0,0,0,0,0,0,"kalt"
"776",2015-08-15,7,8,0,1,143.9004951,663.3966741,275.1316821,61.28243236,400.8311414,0,1544.54242506,0,7,20.875,8,61,0,0,0,"warm"
"1690",2018-02-14,4,2,0,0,84.2120189,236.2073654,106.3968689,78.13823709,321.8245801,0,826.77907039,0,0,2.95,8,5,0,0,0,"kalt"
"1769",2018-05-04,6,5,0,0,98.29385134,296.7710763,114.1074295,52.57374915,248.6014708,0,810.34757709,0,0,12.1875,10,5,0,0,0,"normal"
"1349",2017-03-10,6,3,0,0,100.4506211,269.0691523,85.99993608,71.14066096,220.5610311,0,747.22140154,0,4,8.75,16,0,0,0,0,"kalt"
"581",2015-02-01,1,2,0,0,92.18983728,633.3095423,187.8041592,84.33218882,388.5853532,0,1386.2210808,0,7,-0.25,9,75,0,0,0,"kalt"
"1799",2018-06-03,1,6,0,0,78.97104529,464.730872,275.4425352,70.2365453,240.2827358,0,1129.66373359,0,7,19.275,9,0,0,0,0,"normal"
"239",2014-02-24,2,2,0,0,152.556734,278.2455121,108.4301245,87.58194919,259.0723723,48.89071844,934.77741053,0,1,9.4125,11,0,0,0,0,"kalt"
"444",2014-09-17,4,9,0,0,140.2304265,397.8478418,141.7102759,88.32737768,328.6708689,0,1096.78679078,0,1,19.875,18,0,0,0,0,"normal"
"1050",2016-05-15,1,5,0,0,45.19284393,522.2200378,233.9645861,79.37528741,299.7552711,0,1180.50802634,0,6,9.75,12,61,1,1,0,"kalt"
"1538",2017-09-15,6,9,0,0,177.0951173,432.4226204,129.7642906,85.90124479,281.0188876,0,1106.20216069,0,6,14.425,11,21,0,0,0,"normal"
"1609",2017-11-25,7,11,0,0,100.8946432,266.3940998,83.55718033,98.93091789,173.3878689,0,723.16471012,0,7,2.775,5,45,0,0,0,"kalt"
"2020",2019-01-10,5,1,0,0,142.1952706,248.778343,108.7230553,131.9719307,282.8767697,0,914.5453693,0,7,1.4,7,0,0,0,0,"kalt"
"96",2013-10-04,6,10,0,1,156.0661226,501.3479488,179.3015519,85.83394679,280.7563835,63.8333928,1267.13934639,0,5,11.2,8,63,0,0,1,"normal"
"1521",2017-08-29,3,8,0,1,140.1148334,394.1952267,178.1685593,71.9549799,298.7118385,0,1083.1454378,0,0,24.6,9,0,0,0,0,"warm"
